Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2014-2;49;Japón;Millones;Dólar estadounidense;30,25988984
2014-2;50;Jordania;Millones;Dólar estadounidense;0
2014-2;51;Kuwait;Millones;Dólar estadounidense;0
2014-2;52;Líbano;Millones;Dólar estadounidense;0
2014-2;53;Liberia;Millones;Dólar estadounidense;0
2014-2;54;Liechtenstein;Millones;Dólar estadounidense;0
2014-2;55;Lituania;Millones;Dólar estadounidense;0
2014-2;56;Luxemburgo;Millones;Dólar estadounidense;87,2032781
2014-2;57;Malasia;Millones;Dólar estadounidense;0,753564236
2014-2;58;México;Millones;Dólar estadounidense;177,0724321
2014-2;59;Nicaragua;Millones;Dólar estadounidense;0
2014-2;60;Noruega;Millones;Dólar estadounidense;10,51571067
2014-2;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2014-2;62;Países Bajos;Millones;Dólar estadounidense;157,4224771
2014-2;63;Panamá;Millones;Dólar estadounidense;484,5844012
2014-2;64;Paraguay;Millones;Dólar estadounidense;0
2014-2;65;Perú;Millones;Dólar estadounidense;32,39993497
2014-2;66;Portugal;Millones;Dólar estadounidense;6,616715248
2014-2;67;Puerto Rico;Millones;Dólar estadounidense;-2,85194725
2014-2;69;República Dominicana;Millones;Dólar estadounidense;0,22632823
2014-2;70;Singapur;Millones;Dólar estadounidense;3,311957993
2014-2;71;Sri Lanka;Millones;Dólar estadounidense;0
2014-2;72;Suecia;Millones;Dólar estadounidense;7,509573199
2014-2;73;Suiza;Millones;Dólar estadounidense;710,8597349
2014-2;74;Sudáfrica;Millones;Dólar estadounidense;0
2014-2;75;Tailandia;Millones;Dólar estadounidense;0
2014-2;76;Taiwán;Millones;Dólar estadounidense;0
2014-2;77;Ucrania;Millones;Dólar estadounidense;0
2014-2;78;Uruguay;Millones;Dólar estadounidense;11,59456827
2014-2;79;Venezuela;Millones;Dólar estadounidense;24,06296433
2014-2;81;Otros Países;Millones;Dólar estadounidense;-21,13448152
2014-2;82;Total paises;Millones;Dólar estadounidense;4945,408786
2014-3;1;Afganistán;Millones;Dólar estadounidense;0
2014-3;2;Albania;Millones;Dólar estadounidense;0
2014-3;3;Alemania;Millones;Dólar estadounidense;27,26684956
2014-3;4;Anguilla;Millones;Dólar estadounidense;51,91596555
2014-3;5;Antillas Holandesas;Millones;Dólar estadounidense;-5,157746177
2014-3;6;Argentina;Millones;Dólar estadounidense;0,974840755
2014-3;7;Aruba;Millones;Dólar estadounidense;0,218754779
2014-3;8;Australia;Millones;Dólar estadounidense;1,595436654
2014-3;9;Austria;Millones;Dólar estadounidense;1,33137781
2014-3;10;Bahamas;Millones;Dólar estadounidense;5,503222332
2014-3;11;Barbados;Millones;Dólar estadounidense;95,25457354
2014-3;12;Bélgica;Millones;Dólar estadounidense;18,11008006
2014-3;13;Belice;Millones;Dólar estadounidense;0
2014-3;14;Bermudas;Millones;Dólar estadounidense;27,80687044
2014-3;15;Bolivia;Millones;Dólar estadounidense;0,41825055
2014-3;16;Brasil;Millones;Dólar estadounidense;10,47193607
2014-3;17;Canadá;Millones;Dólar estadounidense;242,1031067
2014-3;18;Chile;Millones;Dólar estadounidense;25,08783775
2014-3;19;China;Millones;Dólar estadounidense;8,159986133
2014-3;20;Corea del Sur;Millones;Dólar estadounidense;-4,630810931
2014-3;21;Chipre;Millones;Dólar estadounidense;0,396774049
2014-3;22;Costa Rica;Millones;Dólar estadounidense;13,50086629
2014-3;23;Cuba;Millones;Dólar estadounidense;0
2014-3;24;Curazao;Millones;Dólar estadounidense;2,440315582
2014-3;25;Dinamarca;Millones;Dólar estadounidense;1,429086308
2014-3;26;Ecuador;Millones;Dólar estadounidense;15,0516136
2014-3;27;El Salvador;Millones;Dólar estadounidense;0
2014-3;28;Escocia;Millones;Dólar estadounidense;0
2014-3;29;España;Millones;Dólar estadounidense;474,766587
2014-3;30;Estados Unidos;Millones;Dólar estadounidense;437,2829488
2014-3;31;Finlandia;Millones;Dólar estadounidense;0
2014-3;32;Francia;Millones;Dólar estadounidense;56,37356979
2014-3;33;Gibraltar;Millones;Dólar estadounidense;0
2014-3;34;Grecia;Millones;Dólar estadounidense;0
2014-3;35;Guatemala;Millones;Dólar estadounidense;0
2014-3;36;Honduras;Millones;Dólar estadounidense;0
2014-3;37;Hong Kong;Millones;Dólar estadounidense;0
2014-3;38;Hungría;Millones;Dólar estadounidense;0
2014-3;39;Islas Caimán;Millones;Dólar estadounidense;80,07163778
2014-3;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;83,58716541
2014-3;41;India;Millones;Dólar estadounidense;1,973752342
2014-3;42;Inglaterra;Millones;Dólar estadounidense;364,5114522
2014-3;44;Irán;Millones;Dólar estadounidense;0
2014-3;45;Irlanda?;Millones;Dólar estadounidense;0,422968363
2014-3;46;Isla de Man;Millones;Dólar estadounidense;0
2014-3;47;Israel;Millones;Dólar estadounidense;0,275224559
2014-3;48;Italia;Millones;Dólar estadounidense;16,51635577
2014-3;49;Japón;Millones;Dólar estadounidense;5,322965293
2014-3;50;Jordania;Millones;Dólar estadounidense;0
2014-3;51;Kuwait;Millones;Dólar estadounidense;0
2014-3;52;Líbano;Millones;Dólar estadounidense;0
2014-3;53;Liberia;Millones;Dólar estadounidense;0
2014-3;54;Liechtenstein;Millones;Dólar estadounidense;0
2014-3;55;Lituania;Millones;Dólar estadounidense;0
2014-3;56;Luxemburgo;Millones;Dólar estadounidense;93,77231173
2014-3;57;Malasia;Millones;Dólar estadounidense;0,117629605
2014-3;58;México;Millones;Dólar estadounidense;178,5764912
2014-3;59;Nicaragua;Millones;Dólar estadounidense;0
2014-3;60;Noruega;Millones;Dólar estadounidense;4,102330914
2014-3;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2014-3;62;Países Bajos;Millones;Dólar estadounidense;167,9708213
2014-3;63;Panamá;Millones;Dólar estadounidense;503,662418
2014-3;64;Paraguay;Millones;Dólar estadounidense;0
2014-3;65;Perú;Millones;Dólar estadounidense;10,20608904
2014-3;66;Portugal;Millones;Dólar estadounidense;1,051401846
2014-3;67;Puerto Rico;Millones;Dólar estadounidense;0,656612
2014-3;69;República Dominicana;Millones;Dólar estadounidense;0,458164125
2014-3;70;Singapur;Millones;Dólar estadounidense;3,6020807
2014-3;71;Sri Lanka;Millones;Dólar estadounidense;0
2014-3;72;Suecia;Millones;Dólar estadounidense;37,8973768
2014-3;73;Suiza;Millones;Dólar estadounidense;592,3984143
2014-3;74;Sudáfrica;Millones;Dólar estadounidense;0
2014-3;75;Tailandia;Millones;Dólar estadounidense;0
2014-3;76;Taiwán;Millones;Dólar estadounidense;0
2014-3;77;Ucrania;Millones;Dólar estadounidense;0
2014-3;78;Uruguay;Millones;Dólar estadounidense;8,973921537
2014-3;79;Venezuela;Millones;Dólar estadounidense;19,19519546
2014-3;81;Otros Países;Millones;Dólar estadounidense;-14,92085618
2014-3;82;Total paises;Millones;Dólar estadounidense;3673,180386
2014-4;1;Afganistán;Millones;Dólar estadounidense;0
2014-4;2;Albania;Millones;Dólar estadounidense;0
2014-4;3;Alemania;Millones;Dólar estadounidense;80,61422927
2014-4;4;Anguilla;Millones;Dólar estadounidense;-211,5061565
2014-4;5;Antillas Holandesas;Millones;Dólar estadounidense;-3,311829453
2014-4;6;Argentina;Millones;Dólar estadounidense;-11,84209711
2014-4;7;Aruba;Millones;Dólar estadounidense;0,139926059
2014-4;8;Australia;Millones;Dólar estadounidense;16,11587765
2014-4;9;Austria;Millones;Dólar estadounidense;3,321285258
2014-4;10;Bahamas;Millones;Dólar estadounidense;13,46330334
2014-4;11;Barbados;Millones;Dólar estadounidense;65,37506804
2014-4;12;Bélgica;Millones;Dólar estadounidense;-78,78819211
2014-4;13;Belice;Millones;Dólar estadounidense;0
2014-4;14;Bermudas;Millones;Dólar estadounidense;530,7885482
2014-4;15;Bolivia;Millones;Dólar estadounidense;1,00225715
2014-4;16;Brasil;Millones;Dólar estadounidense;10,34364013
2014-4;17;Canadá;Millones;Dólar estadounidense;62,37291706
2014-4;18;Chile;Millones;Dólar estadounidense;275,304634
2014-4;19;China;Millones;Dólar estadounidense;10,58039791
2014-4;20;Corea del Sur;Millones;Dólar estadounidense;2,075154933
2014-4;21;Chipre;Millones;Dólar estadounidense;-0,886209327
2014-4;22;Costa Rica;Millones;Dólar estadounidense;47,41535
2014-4;23;Cuba;Millones;Dólar estadounidense;0
2014-4;24;Curazao;Millones;Dólar estadounidense;5,943434956
2014-4;25;Dinamarca;Millones;Dólar estadounidense;8,649864751
2014-4;26;Ecuador;Millones;Dólar estadounidense;3,724586564
2014-4;27;El Salvador;Millones;Dólar estadounidense;0
2014-4;28;Escocia;Millones;Dólar estadounidense;0
2014-4;29;España;Millones;Dólar estadounidense;330,4617108
2014-4;30;Estados Unidos;Millones;Dólar estadounidense;184,6751048
2014-4;31;Finlandia;Millones;Dólar estadounidense;0
2014-4;32;Francia;Millones;Dólar estadounidense;45,88322193
2014-4;33;Gibraltar;Millones;Dólar estadounidense;0
2014-4;34;Grecia;Millones;Dólar estadounidense;0
2014-4;35;Guatemala;Millones;Dólar estadounidense;0
2014-4;36;Honduras;Millones;Dólar estadounidense;0
2014-4;37;Hong Kong;Millones;Dólar estadounidense;0
2014-4;38;Hungría;Millones;Dólar estadounidense;0
2014-4;39;Islas Caimán;Millones;Dólar estadounidense;27,34359527
2014-4;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;75,78144659
2014-4;41;India;Millones;Dólar estadounidense;2,005235222
2014-4;42;Inglaterra;Millones;Dólar estadounidense;169,8456875
2014-4;44;Irán;Millones;Dólar estadounidense;0
2014-4;45;Irlanda?;Millones;Dólar estadounidense;-5,986428473
2014-4;46;Isla de Man;Millones;Dólar estadounidense;0
2014-4;47;Israel;Millones;Dólar estadounidense;0,434081337
2014-4;48;Italia;Millones;Dólar estadounidense;-23,92675638
2014-4;49;Japón;Millones;Dólar estadounidense;11,03598595
2014-4;50;Jordania;Millones;Dólar estadounidense;0
2014-4;51;Kuwait;Millones;Dólar estadounidense;0
2014-4;52;Líbano;Millones;Dólar estadounidense;0
2014-4;53;Liberia;Millones;Dólar estadounidense;0
2014-4;54;Liechtenstein;Millones;Dólar estadounidense;0
2014-4;55;Lituania;Millones;Dólar estadounidense;0
2014-4;56;Luxemburgo;Millones;Dólar estadounidense;25,10473873
2014-4;57;Malasia;Millones;Dólar estadounidense;0,133749223
2014-4;58;México;Millones;Dólar estadounidense;118,5145266
2014-4;59;Nicaragua;Millones;Dólar estadounidense;0
2014-4;60;Noruega;Millones;Dólar estadounidense;1,040215683
2014-4;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2014-4;62;Países Bajos;Millones;Dólar estadounidense;-39,34609056
2014-4;63;Panamá;Millones;Dólar estadounidense;592,2536052
2014-4;64;Paraguay;Millones;Dólar estadounidense;0
2014-4;65;Perú;Millones;Dólar estadounidense;134,7402881
2014-4;66;Portugal;Millones;Dólar estadounidense;3,073640276
2014-4;67;Puerto Rico;Millones;Dólar estadounidense;0,91432013
2014-4;69;República Dominicana;Millones;Dólar estadounidense;-9,151193604
2014-4;70;Singapur;Millones;Dólar estadounidense;0,849431093
2014-4;71;Sri Lanka;Millones;Dólar estadounidense;0
2014-4;72;Suecia;Millones;Dólar estadounidense;19,1558298
2014-4;73;Suiza;Millones;Dólar estadounidense;1179,070686
2014-4;74;Sudáfrica;Millones;Dólar estadounidense;0
2014-4;75;Tailandia;Millones;Dólar estadounidense;0
2014-4;76;Taiwán;Millones;Dólar estadounidense;0
2014-4;77;Ucrania;Millones;Dólar estadounidense;0
2014-4;78;Uruguay;Millones;Dólar estadounidense;16,11397883
2014-4;79;Venezuela;Millones;Dólar estadounidense;47,72289114
2014-4;81;Otros Países;Millones;Dólar estadounidense;9,207754772
2014-4;82;Total paises;Millones;Dólar estadounidense;3760,185639
2015-1;1;Afganistán;Millones;Dólar estadounidense;0
2015-1;2;Albania;Millones;Dólar estadounidense;0
2015-1;3;Alemania;Millones;Dólar estadounidense;15,89222944
2015-1;4;Anguilla;Millones;Dólar estadounidense;22,72159082
2015-1;5;Antillas Holandesas;Millones;Dólar estadounidense;-0,102697705
2015-1;6;Argentina;Millones;Dólar estadounidense;0,602317908
2015-1;7;Aruba;Millones;Dólar estadounidense;4,250961862
2015-1;8;Australia;Millones;Dólar estadounidense;7,43372402
2015-1;9;Austria;Millones;Dólar estadounidense;5,138144857
2015-1;10;Bahamas;Millones;Dólar estadounidense;8,330733739
2015-1;11;Barbados;Millones;Dólar estadounidense;59,03329763
2015-1;12;Bélgica;Millones;Dólar estadounidense;73,52430935
2015-1;13;Belice;Millones;Dólar estadounidense;0
2015-1;14;Bermudas;Millones;Dólar estadounidense;453,7599578
2015-1;15;Bolivia;Millones;Dólar estadounidense;1,64380362
2015-1;16;Brasil;Millones;Dólar estadounidense;4,982155647
2015-1;17;Canadá;Millones;Dólar estadounidense;90,53918362
2015-1;18;Chile;Millones;Dólar estadounidense;68,46605397
2015-1;19;China;Millones;Dólar estadounidense;-1,782823105
2015-1;20;Corea del Sur;Millones;Dólar estadounidense;1,190818698
2015-1;21;Chipre;Millones;Dólar estadounidense;0,30765263
2015-1;22;Costa Rica;Millones;Dólar estadounidense;4,207456367
2015-1;23;Cuba;Millones;Dólar estadounidense;0
2015-1;24;Curazao;Millones;Dólar estadounidense;1,038637385
2015-1;25;Dinamarca;Millones;Dólar estadounidense;0,460560433
2015-1;26;Ecuador;Millones;Dólar estadounidense;5,400371664
2015-1;27;El Salvador;Millones;Dólar estadounidense;0
2015-1;28;Escocia;Millones;Dólar estadounidense;0
2015-1;29;España;Millones;Dólar estadounidense;374,0881235
2015-1;30;Estados Unidos;Millones;Dólar estadounidense;780,2728605
2015-1;31;Finlandia;Millones;Dólar estadounidense;0
2015-1;32;Francia;Millones;Dólar estadounidense;53,2216923
2015-1;33;Gibraltar;Millones;Dólar estadounidense;0
2015-1;34;Grecia;Millones;Dólar estadounidense;0
2015-1;35;Guatemala;Millones;Dólar estadounidense;0
2015-1;36;Honduras;Millones;Dólar estadounidense;0
2015-1;37;Hong Kong;Millones;Dólar estadounidense;0
2015-1;38;Hungría;Millones;Dólar estadounidense;0
2015-1;39;Islas Caimán;Millones;Dólar estadounidense;77,51037535
2015-1;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;80,0324921
2015-1;41;India;Millones;Dólar estadounidense;0,842842246
2015-1;42;Inglaterra;Millones;Dólar estadounidense;91,19211829
2015-1;44;Irán;Millones;Dólar estadounidense;0
2015-1;45;Irlanda?;Millones;Dólar estadounidense;-3,029188544
2015-1;46;Isla de Man;Millones;Dólar estadounidense;0
2015-1;47;Israel;Millones;Dólar estadounidense;0,15531599
2015-1;48;Italia;Millones;Dólar estadounidense;22,17187985
2015-1;49;Japón;Millones;Dólar estadounidense;5,171345769
2015-1;50;Jordania;Millones;Dólar estadounidense;0
2015-1;51;Kuwait;Millones;Dólar estadounidense;0
2015-1;52;Líbano;Millones;Dólar estadounidense;0
2015-1;53;Liberia;Millones;Dólar estadounidense;0
2015-1;54;Liechtenstein;Millones;Dólar estadounidense;0
2015-1;55;Lituania;Millones;Dólar estadounidense;0
2015-1;56;Luxemburgo;Millones;Dólar estadounidense;18,29855689
2015-1;57;Malasia;Millones;Dólar estadounidense;0,282776963
2015-1;58;México;Millones;Dólar estadounidense;-463,2441442
2015-1;59;Nicaragua;Millones;Dólar estadounidense;0
2015-1;60;Noruega;Millones;Dólar estadounidense;88,91279185
2015-1;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2015-1;62;Países Bajos;Millones;Dólar estadounidense;229,9960044
2015-1;63;Panamá;Millones;Dólar estadounidense;598,3503694
2015-1;64;Paraguay;Millones;Dólar estadounidense;0
2015-1;65;Perú;Millones;Dólar estadounidense;1,175245311
2015-1;66;Portugal;Millones;Dólar estadounidense;2,218704499
2015-1;67;Puerto Rico;Millones;Dólar estadounidense;1,59404592
2015-1;69;República Dominicana;Millones;Dólar estadounidense;0,006154568
2015-1;70;Singapur;Millones;Dólar estadounidense;17,04777436
2015-1;71;Sri Lanka;Millones;Dólar estadounidense;0
2015-1;72;Suecia;Millones;Dólar estadounidense;38,70371265
2015-1;73;Suiza;Millones;Dólar estadounidense;336,9585095
2015-1;74;Sudáfrica;Millones;Dólar estadounidense;0
2015-1;75;Tailandia;Millones;Dólar estadounidense;0
2015-1;76;Taiwán;Millones;Dólar estadounidense;0
2015-1;77;Ucrania;Millones;Dólar estadounidense;0
2015-1;78;Uruguay;Millones;Dólar estadounidense;43,782329
2015-1;79;Venezuela;Millones;Dólar estadounidense;19,90132301
2015-1;81;Otros Países;Millones;Dólar estadounidense;10,09934903
2015-1;82;Total paises;Millones;Dólar estadounidense;3248,543349
2015-2;1;Afganistán;Millones;Dólar estadounidense;0
2015-2;2;Albania;Millones;Dólar estadounidense;0
2015-2;3;Alemania;Millones;Dólar estadounidense;48,39402942
2015-2;4;Anguilla;Millones;Dólar estadounidense;-59,26935857
2015-2;5;Antillas Holandesas;Millones;Dólar estadounidense;-0,132160458
2015-2;6;Argentina;Millones;Dólar estadounidense;0,586857839
2015-2;7;Aruba;Millones;Dólar estadounidense;5,123491625
2015-2;8;Australia;Millones;Dólar estadounidense;1,066674616
2015-2;9;Austria;Millones;Dólar estadounidense;12,0750383
2015-2;10;Bahamas;Millones;Dólar estadounidense;8,068734907
2015-2;11;Barbados;Millones;Dólar estadounidense;85,09999302
2015-2;12;Bélgica;Millones;Dólar estadounidense;24,00979431
2015-2;13;Belice;Millones;Dólar estadounidense;0
2015-2;14;Bermudas;Millones;Dólar estadounidense;346,9481425
2015-2;15;Bolivia;Millones;Dólar estadounidense;0,6998522
2015-2;16;Brasil;Millones;Dólar estadounidense;7,152722743
2015-2;17;Canadá;Millones;Dólar estadounidense;146,1344442
2015-2;18;Chile;Millones;Dólar estadounidense;422,0780984
2015-2;19;China;Millones;Dólar estadounidense;-1,855392167
2015-2;20;Corea del Sur;Millones;Dólar estadounidense;15,25285835
2015-2;21;Chipre;Millones;Dólar estadounidense;0,318482891
2015-2;22;Costa Rica;Millones;Dólar estadounidense;1,826882909
2015-2;23;Cuba;Millones;Dólar estadounidense;0
2015-2;24;Curazao;Millones;Dólar estadounidense;0,863071923
2015-2;25;Dinamarca;Millones;Dólar estadounidense;0,459368482
2015-2;26;Ecuador;Millones;Dólar estadounidense;7,927350394
2015-2;27;El Salvador;Millones;Dólar estadounidense;0
2015-2;28;Escocia;Millones;Dólar estadounidense;0
2015-2;29;España;Millones;Dólar estadounidense;378,8152848
2015-2;30;Estados Unidos;Millones;Dólar estadounidense;747,8386105
2015-2;31;Finlandia;Millones;Dólar estadounidense;0
2015-2;32;Francia;Millones;Dólar estadounidense;28,2619576
2015-2;33;Gibraltar;Millones;Dólar estadounidense;0
2015-2;34;Grecia;Millones;Dólar estadounidense;0
2015-2;35;Guatemala;Millones;Dólar estadounidense;0
2015-2;36;Honduras;Millones;Dólar estadounidense;0
2015-2;37;Hong Kong;Millones;Dólar estadounidense;0
2015-2;38;Hungría;Millones;Dólar estadounidense;0
2015-2;39;Islas Caimán;Millones;Dólar estadounidense;80,92477253
2015-2;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;66,17550608
2015-2;41;India;Millones;Dólar estadounidense;1,634146411
2015-2;42;Inglaterra;Millones;Dólar estadounidense;271,0712718
2015-2;44;Irán;Millones;Dólar estadounidense;0
2015-2;45;Irlanda?;Millones;Dólar estadounidense;1,374659195
2015-2;46;Isla de Man;Millones;Dólar estadounidense;0
2015-2;47;Israel;Millones;Dólar estadounidense;0,163433613
2015-2;48;Italia;Millones;Dólar estadounidense;15,39249969
2015-2;49;Japón;Millones;Dólar estadounidense;23,04228027
2015-2;50;Jordania;Millones;Dólar estadounidense;0
2015-2;51;Kuwait;Millones;Dólar estadounidense;0
2015-2;52;Líbano;Millones;Dólar estadounidense;0
2015-2;53;Liberia;Millones;Dólar estadounidense;0
2015-2;54;Liechtenstein;Millones;Dólar estadounidense;0
2015-2;55;Lituania;Millones;Dólar estadounidense;0
2015-2;56;Luxemburgo;Millones;Dólar estadounidense;30,69495849
2015-2;57;Malasia;Millones;Dólar estadounidense;0,29295566
2015-2;58;México;Millones;Dólar estadounidense;153,2848094
2015-2;59;Nicaragua;Millones;Dólar estadounidense;0
2015-2;60;Noruega;Millones;Dólar estadounidense;1,08928226
2015-2;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2015-2;62;Países Bajos;Millones;Dólar estadounidense;112,1557808
2015-2;63;Panamá;Millones;Dólar estadounidense;462,0305104
2015-2;64;Paraguay;Millones;Dólar estadounidense;0
2015-2;65;Perú;Millones;Dólar estadounidense;14,25619385
2015-2;66;Portugal;Millones;Dólar estadounidense;0,389280042
2015-2;67;Puerto Rico;Millones;Dólar estadounidense;1,20815414
2015-2;69;República Dominicana;Millones;Dólar estadounidense;0,378114311
2015-2;70;Singapur;Millones;Dólar estadounidense;36,76482948
2015-2;71;Sri Lanka;Millones;Dólar estadounidense;0
2015-2;72;Suecia;Millones;Dólar estadounidense;82,17756259
2015-2;73;Suiza;Millones;Dólar estadounidense;434,1455099
2015-2;74;Sudáfrica;Millones;Dólar estadounidense;0
2015-2;75;Tailandia;Millones;Dólar estadounidense;0
2015-2;76;Taiwán;Millones;Dólar estadounidense;0
2015-2;77;Ucrania;Millones;Dólar estadounidense;0
2015-2;78;Uruguay;Millones;Dólar estadounidense;16,72877457
2015-2;79;Venezuela;Millones;Dólar estadounidense;27,63129863
2015-2;81;Otros Países;Millones;Dólar estadounidense;12,47608465
2015-2;82;Total paises;Millones;Dólar estadounidense;4068,155243
2015-3;1;Afganistán;Millones;Dólar estadounidense;0
2015-3;2;Albania;Millones;Dólar estadounidense;0
2015-3;3;Alemania;Millones;Dólar estadounidense;84,41041158
2015-3;4;Anguilla;Millones;Dólar estadounidense;-85,27632377
2015-3;5;Antillas Holandesas;Millones;Dólar estadounidense;-0,122459506
2015-3;6;Argentina;Millones;Dólar estadounidense;2,496199908
2015-3;7;Aruba;Millones;Dólar estadounidense;2,969287659
2015-3;8;Australia;Millones;Dólar estadounidense;12,30626068
2015-3;9;Austria;Millones;Dólar estadounidense;24,90846449
2015-3;10;Bahamas;Millones;Dólar estadounidense;9,11032591
2015-3;11;Barbados;Millones;Dólar estadounidense;52,48852256
2015-3;12;Bélgica;Millones;Dólar estadounidense;-13,13862542
2015-3;13;Belice;Millones;Dólar estadounidense;0
2015-3;14;Bermudas;Millones;Dólar estadounidense;156,5687042
2015-3;15;Bolivia;Millones;Dólar estadounidense;0,79843603
2015-3;16;Brasil;Millones;Dólar estadounidense;11,32637181
2015-3;17;Canadá;Millones;Dólar estadounidense;39,90805686
2015-3;18;Chile;Millones;Dólar estadounidense;36,01777866
2015-3;19;China;Millones;Dólar estadounidense;3,67330069
2015-3;20;Corea del Sur;Millones;Dólar estadounidense;15,52709377
2015-3;21;Chipre;Millones;Dólar estadounidense;0,60979507
2015-3;22;Costa Rica;Millones;Dólar estadounidense;21,07527102
2015-3;23;Cuba;Millones;Dólar estadounidense;0
2015-3;24;Curazao;Millones;Dólar estadounidense;-1,511387348
2015-3;25;Dinamarca;Millones;Dólar estadounidense;1,483725037
2015-3;26;Ecuador;Millones;Dólar estadounidense;9,087163551
2015-3;27;El Salvador;Millones;Dólar estadounidense;0
2015-3;28;Escocia;Millones;Dólar estadounidense;0
2015-3;29;España;Millones;Dólar estadounidense;50,38146753
2015-3;30;Estados Unidos;Millones;Dólar estadounidense;405,7584932
2015-3;31;Finlandia;Millones;Dólar estadounidense;0
2015-3;32;Francia;Millones;Dólar estadounidense;12,62415555
2015-3;33;Gibraltar;Millones;Dólar estadounidense;0
2015-3;34;Grecia;Millones;Dólar estadounidense;0
2015-3;35;Guatemala;Millones;Dólar estadounidense;0
2015-3;36;Honduras;Millones;Dólar estadounidense;0
2015-3;37;Hong Kong;Millones;Dólar estadounidense;0
2015-3;38;Hungría;Millones;Dólar estadounidense;0
2015-3;39;Islas Caimán;Millones;Dólar estadounidense;54,72874017
2015-3;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;59,83201292
2015-3;41;India;Millones;Dólar estadounidense;1,819387847
2015-3;42;Inglaterra;Millones;Dólar estadounidense;196,5269051
2015-3;44;Irán;Millones;Dólar estadounidense;0
2015-3;45;Irlanda?;Millones;Dólar estadounidense;23,51189791
2015-3;46;Isla de Man;Millones;Dólar estadounidense;0
2015-3;47;Israel;Millones;Dólar estadounidense;0,160148434
2015-3;48;Italia;Millones;Dólar estadounidense;22,55725528
2015-3;49;Japón;Millones;Dólar estadounidense;10,48743206
2015-3;50;Jordania;Millones;Dólar estadounidense;0
2015-3;51;Kuwait;Millones;Dólar estadounidense;0
2015-3;52;Líbano;Millones;Dólar estadounidense;0
2015-3;53;Liberia;Millones;Dólar estadounidense;0
2015-3;54;Liechtenstein;Millones;Dólar estadounidense;0
2015-3;55;Lituania;Millones;Dólar estadounidense;0
2015-3;56;Luxemburgo;Millones;Dólar estadounidense;-4,590768969
2015-3;57;Malasia;Millones;Dólar estadounidense;0,132485253
2015-3;58;México;Millones;Dólar estadounidense;109,0797316
2015-3;59;Nicaragua;Millones;Dólar estadounidense;0
2015-3;60;Noruega;Millones;Dólar estadounidense;0,574498339
2015-3;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2015-3;62;Países Bajos;Millones;Dólar estadounidense;88,22090402
2015-3;63;Panamá;Millones;Dólar estadounidense;489,6383219
2015-3;64;Paraguay;Millones;Dólar estadounidense;0
2015-3;65;Perú;Millones;Dólar estadounidense;29,88149745
2015-3;66;Portugal;Millones;Dólar estadounidense;3,210168513
2015-3;67;Puerto Rico;Millones;Dólar estadounidense;0,76704166
2015-3;69;República Dominicana;Millones;Dólar estadounidense;4,2677683
2015-3;70;Singapur;Millones;Dólar estadounidense;17,0568777
2015-3;71;Sri Lanka;Millones;Dólar estadounidense;0
2015-3;72;Suecia;Millones;Dólar estadounidense;50,40533115
2015-3;73;Suiza;Millones;Dólar estadounidense;140,1205606
2015-3;74;Sudáfrica;Millones;Dólar estadounidense;0
2015-3;75;Tailandia;Millones;Dólar estadounidense;0
2015-3;76;Taiwán;Millones;Dólar estadounidense;0
2015-3;77;Ucrania;Millones;Dólar estadounidense;0
2015-3;78;Uruguay;Millones;Dólar estadounidense;11,79353263
2015-3;79;Venezuela;Millones;Dólar estadounidense;23,78515291
2015-3;81;Otros Países;Millones;Dólar estadounidense;12,65064182
2015-3;82;Total paises;Millones;Dólar estadounidense;2197,158419
2015-4;1;Afganistán;Millones;Dólar estadounidense;0
2015-4;2;Albania;Millones;Dólar estadounidense;0
2015-4;3;Alemania;Millones;Dólar estadounidense;71,57441799
2015-4;4;Anguilla;Millones;Dólar estadounidense;-69,2329396
2015-4;5;Antillas Holandesas;Millones;Dólar estadounidense;-8,288164465
2015-4;6;Argentina;Millones;Dólar estadounidense;0,818960099
2015-4;7;Aruba;Millones;Dólar estadounidense;0,045140554
2015-4;8;Australia;Millones;Dólar estadounidense;1,157802805
2015-4;9;Austria;Millones;Dólar estadounidense;11,83409063
2015-4;10;Bahamas;Millones;Dólar estadounidense;1,208766679
2015-4;11;Barbados;Millones;Dólar estadounidense;40,99767289
2015-4;12;Bélgica;Millones;Dólar estadounidense;-56,91445946
2015-4;13;Belice;Millones;Dólar estadounidense;0
2015-4;14;Bermudas;Millones;Dólar estadounidense;182,8270447
2015-4;15;Bolivia;Millones;Dólar estadounidense;0,38242679
2015-4;16;Brasil;Millones;Dólar estadounidense;28,43968347
2015-4;17;Canadá;Millones;Dólar estadounidense;42,88085208
2015-4;18;Chile;Millones;Dólar estadounidense;212,76499
