Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2007-3;11;Barbados;Millones;Dólar estadounidense;8,922616482
2007-3;12;Bélgica;Millones;Dólar estadounidense;0,577024508
2007-3;13;Belice;Millones;Dólar estadounidense;0
2007-3;14;Bermudas;Millones;Dólar estadounidense;13,44053836
2007-3;15;Bolivia;Millones;Dólar estadounidense;-1,283554573
2007-3;16;Brasil;Millones;Dólar estadounidense;6,513582357
2007-3;17;Canadá;Millones;Dólar estadounidense;66,53939996
2007-3;18;Chile;Millones;Dólar estadounidense;11,34588842
2007-3;19;China;Millones;Dólar estadounidense;1,525475409
2007-3;20;Corea del Sur;Millones;Dólar estadounidense;0,447036518
2007-3;21;Chipre;Millones;Dólar estadounidense;0
2007-3;22;Costa Rica;Millones;Dólar estadounidense;0,366568951
2007-3;23;Cuba;Millones;Dólar estadounidense;0
2007-3;24;Curazao;Millones;Dólar estadounidense;-0,01902281
2007-3;25;Dinamarca;Millones;Dólar estadounidense;0,23987105
2007-3;26;Ecuador;Millones;Dólar estadounidense;1,254849593
2007-3;27;El Salvador;Millones;Dólar estadounidense;0
2007-3;28;Escocia;Millones;Dólar estadounidense;0
2007-3;29;España;Millones;Dólar estadounidense;269,0099705
2007-3;30;Estados Unidos;Millones;Dólar estadounidense;623,1161688
2007-3;31;Finlandia;Millones;Dólar estadounidense;0,031888
2007-3;32;Francia;Millones;Dólar estadounidense;21,72998569
2007-3;33;Gibraltar;Millones;Dólar estadounidense;0
2007-3;34;Grecia;Millones;Dólar estadounidense;0
2007-3;35;Guatemala;Millones;Dólar estadounidense;0,071236
2007-3;36;Honduras;Millones;Dólar estadounidense;0
2007-3;37;Hong Kong;Millones;Dólar estadounidense;0
2007-3;38;Hungría;Millones;Dólar estadounidense;0
2007-3;39;Islas Caimán;Millones;Dólar estadounidense;136,3956517
2007-3;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;51,86829792
2007-3;41;India;Millones;Dólar estadounidense;0,032828
2007-3;42;Inglaterra;Millones;Dólar estadounidense;303,7683107
2007-3;44;Irán;Millones;Dólar estadounidense;0
2007-3;45;Irlanda?;Millones;Dólar estadounidense;0,298510209
2007-3;46;Isla de Man;Millones;Dólar estadounidense;0
2007-3;47;Israel;Millones;Dólar estadounidense;4,230381535
2007-3;48;Italia;Millones;Dólar estadounidense;3,818388729
2007-3;49;Japón;Millones;Dólar estadounidense;13,71592716
2007-3;50;Jordania;Millones;Dólar estadounidense;0
2007-3;51;Kuwait;Millones;Dólar estadounidense;0
2007-3;52;Líbano;Millones;Dólar estadounidense;0
2007-3;53;Liberia;Millones;Dólar estadounidense;0
2007-3;54;Liechtenstein;Millones;Dólar estadounidense;0
2007-3;55;Lituania;Millones;Dólar estadounidense;0,032364
2007-3;56;Luxemburgo;Millones;Dólar estadounidense;8,785574282
2007-3;57;Malasia;Millones;Dólar estadounidense;0
2007-3;58;México;Millones;Dólar estadounidense;102,8969136
2007-3;59;Nicaragua;Millones;Dólar estadounidense;0
2007-3;60;Noruega;Millones;Dólar estadounidense;6,818089044
2007-3;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2007-3;62;Países Bajos;Millones;Dólar estadounidense;66,2460066
2007-3;63;Panamá;Millones;Dólar estadounidense;185,7589803
2007-3;64;Paraguay;Millones;Dólar estadounidense;0
2007-3;65;Perú;Millones;Dólar estadounidense;6,578876572
2007-3;66;Portugal;Millones;Dólar estadounidense;3,732057532
2007-3;67;Puerto Rico;Millones;Dólar estadounidense;-0,12939707
2007-3;69;República Dominicana;Millones;Dólar estadounidense;5,944934809
2007-3;70;Singapur;Millones;Dólar estadounidense;0,01
2007-3;71;Sri Lanka;Millones;Dólar estadounidense;0
2007-3;72;Suecia;Millones;Dólar estadounidense;4,26509967
2007-3;73;Suiza;Millones;Dólar estadounidense;25,11702797
2007-3;74;Sudáfrica;Millones;Dólar estadounidense;0,038
2007-3;75;Tailandia;Millones;Dólar estadounidense;0
2007-3;76;Taiwán;Millones;Dólar estadounidense;0,01998
2007-3;77;Ucrania;Millones;Dólar estadounidense;0,092957
2007-3;78;Uruguay;Millones;Dólar estadounidense;4,947310045
2007-3;79;Venezuela;Millones;Dólar estadounidense;59,10942045
2007-3;81;Otros Países;Millones;Dólar estadounidense;-3,778690389
2007-3;82;Total paises;Millones;Dólar estadounidense;2325,728639
2007-4;1;Afganistán;Millones;Dólar estadounidense;0
2007-4;2;Albania;Millones;Dólar estadounidense;0
2007-4;3;Alemania;Millones;Dólar estadounidense;8,20492246
2007-4;4;Anguilla;Millones;Dólar estadounidense;365,6258063
2007-4;5;Antillas Holandesas;Millones;Dólar estadounidense;0,2245161
2007-4;6;Argentina;Millones;Dólar estadounidense;1,982370628
2007-4;7;Aruba;Millones;Dólar estadounidense;-2,093242738
2007-4;8;Australia;Millones;Dólar estadounidense;1,124162182
2007-4;9;Austria;Millones;Dólar estadounidense;0,763099602
2007-4;10;Bahamas;Millones;Dólar estadounidense;8,219088651
2007-4;11;Barbados;Millones;Dólar estadounidense;8,550841997
2007-4;12;Bélgica;Millones;Dólar estadounidense;0,324470665
2007-4;13;Belice;Millones;Dólar estadounidense;0
2007-4;14;Bermudas;Millones;Dólar estadounidense;31,87063319
2007-4;15;Bolivia;Millones;Dólar estadounidense;1,183975317
2007-4;16;Brasil;Millones;Dólar estadounidense;21,63138549
2007-4;17;Canadá;Millones;Dólar estadounidense;63,6749052
2007-4;18;Chile;Millones;Dólar estadounidense;35,11856928
2007-4;19;China;Millones;Dólar estadounidense;1,409381669
2007-4;20;Corea del Sur;Millones;Dólar estadounidense;36,40248264
2007-4;21;Chipre;Millones;Dólar estadounidense;0,089125
2007-4;22;Costa Rica;Millones;Dólar estadounidense;1,011745375
2007-4;23;Cuba;Millones;Dólar estadounidense;0,009975
2007-4;24;Curazao;Millones;Dólar estadounidense;-0,001186
2007-4;25;Dinamarca;Millones;Dólar estadounidense;2,020639969
2007-4;26;Ecuador;Millones;Dólar estadounidense;-2,28106495
2007-4;27;El Salvador;Millones;Dólar estadounidense;0
2007-4;28;Escocia;Millones;Dólar estadounidense;0,044994
2007-4;29;España;Millones;Dólar estadounidense;106,4868698
2007-4;30;Estados Unidos;Millones;Dólar estadounidense;545,2526756
2007-4;31;Finlandia;Millones;Dólar estadounidense;0
2007-4;32;Francia;Millones;Dólar estadounidense;24,62241002
2007-4;33;Gibraltar;Millones;Dólar estadounidense;0
2007-4;34;Grecia;Millones;Dólar estadounidense;0
2007-4;35;Guatemala;Millones;Dólar estadounidense;0,09
2007-4;36;Honduras;Millones;Dólar estadounidense;0,05
2007-4;37;Hong Kong;Millones;Dólar estadounidense;0
2007-4;38;Hungría;Millones;Dólar estadounidense;0
2007-4;39;Islas Caimán;Millones;Dólar estadounidense;51,12290515
2007-4;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;142,7697452
2007-4;41;India;Millones;Dólar estadounidense;0,085
2007-4;42;Inglaterra;Millones;Dólar estadounidense;351,8236127
2007-4;44;Irán;Millones;Dólar estadounidense;0
2007-4;45;Irlanda?;Millones;Dólar estadounidense;4,637725176
2007-4;46;Isla de Man;Millones;Dólar estadounidense;0
2007-4;47;Israel;Millones;Dólar estadounidense;1,486693801
2007-4;48;Italia;Millones;Dólar estadounidense;5,285946338
2007-4;49;Japón;Millones;Dólar estadounidense;4,716753617
2007-4;50;Jordania;Millones;Dólar estadounidense;0
2007-4;51;Kuwait;Millones;Dólar estadounidense;0
2007-4;52;Líbano;Millones;Dólar estadounidense;0,069968
2007-4;53;Liberia;Millones;Dólar estadounidense;0
2007-4;54;Liechtenstein;Millones;Dólar estadounidense;0
2007-4;55;Lituania;Millones;Dólar estadounidense;0,09671822
2007-4;56;Luxemburgo;Millones;Dólar estadounidense;9,01921824
2007-4;57;Malasia;Millones;Dólar estadounidense;0
2007-4;58;México;Millones;Dólar estadounidense;118,181598
2007-4;59;Nicaragua;Millones;Dólar estadounidense;0,00956797
